loss_month,total_claims,total_claimed,total_approved,avg_settlement_days,fraud_ring_claims,new_policies,gwp,loss_ratio
2022-08,1657,2628140576.4,1759292119.54,95.06883116883117,0,1572.0,150668630.83,11.676565386228377
2022-09,1626,2757127868.37,1834866922.47,92.07785234899329,0,1489.0,147345531.87,12.452816852898303
2022-10,1845,3005717502.34,1953158875.42,93.07467911318552,3,1467.0,146567319.82,13.326018909390466
2022-11,1860,2878086495.09,1911473225.14,90.63199105145414,0,1392.0,136907523.32,13.961783682787319
2022-12,2028,3179736516.07,2061630790.33,93.67796610169492,4,1566.0,149208234.37,13.817138169584252
2023-01,2047,3295637894.3,2190882047.31,92.28964059196618,1,1506.0,149507827.7,14.653962143749348
2023-02,2032,3199208655.74,2135390473.78,93.25688073394495,2,1381.0,131135873.1,16.28380109347821
2023-03,2349,3786496024.45,2573070120.97,93.43345656192237,1,1483.0,151940955.17,16.934671222061926
2023-04,2383,3818759642.76,2485072849.47,91.92300469483568,3,1493.0,138763110.13,17.908742800171193
2023-05,2534,4145067801.13,2778583340.98,89.81701738334858,5,1548.0,156729355.94,17.72854437074132
2023-06,2558,4039574855.57,2652469820.21,93.68242640499554,1,1486.0,152441859.73,17.399878385818486
2023-07,2768,4523581485.1,2942683009.16,93.82343234323433,0,1474.0,141032352.86,20.86530465871999
2023-08,2849,4646143495.78,3016084688.43,92.24198473282443,2,1524.0,151049825.8,19.967482070608252
2023-09,2874,4514796752.37,2943881365.6,93.40061871616396,2,1555.0,154369436.38,19.07036415131595
2023-10,3203,4993486863.2,3361432154.97,91.87288135593221,3,1509.0,142965301.92,23.51222366424951
2023-11,3217,5167392626.52,3422272331.07,89.71510791366906,2,1428.0,141833956.83,24.128723526848248
2023-12,3618,5840902932.86,3855134878.51,91.89746682750301,4,1580.0,143865547.27,26.796790139579887
2024-01,3768,6098854324.27,3936400958.53,89.5041518386714,0,1580.0,154304988.53,25.510522997541873
2024-02,3709,6006824683.28,3990519651.46,90.49824150058616,2,1391.0,141156830.81,28.27011366407993
2024-03,4185,6791544816.59,4524606960.09,91.54881266490766,3,1435.0,146049899.9,30.979870326429438
2024-04,4252,7017880697.11,4682936084.27,91.26216077828981,4,1472.0,139878748.44,33.478538637902616
2024-05,4880,7732804019.95,5120273442.5,92.44459520578924,1,1463.0,148763682.46,34.41884039054192
2024-06,4714,7670263898.94,5015448096.47,91.40196078431373,5,1446.0,142193159.57,35.27207716346548
2024-07,5197,8499031280.17,5664931446.34,92.01645021645021,2,0.0,0.0,
2024-08,5080,8041210827.82,5305020208.26,93.21022973558735,3,0.0,0.0,
2024-09,5052,8375029481.7,5435011808.43,93.44305435720449,3,0.0,0.0,
2024-10,5161,8241730336.48,5395154658.65,91.93330464716007,3,0.0,0.0,
2024-11,4931,8168150110.31,5418784034.66,90.75705961452263,2,0.0,0.0,
2024-12,5118,8121188698.89,5416841719.63,92.18117854001758,2,0.0,0.0,
