claim_id,fraud_label,label_source
CLM000108,0,clean
CLM000109,0,clean
CLM000110,0,clean
CLM000111,0,clean
CLM000112,0,clean
CLM000113,0,clean
CLM000114,0,clean
CLM000115,0,clean
CLM000116,0,clean
CLM000117,0,clean
CLM000118,0,clean
CLM000119,0,clean
CLM000120,0,clean
CLM000121,0,clean
CLM000122,0,clean
CLM000123,0,clean
CLM000124,0,clean
CLM000125,1,ring
CLM000126,0,clean
CLM000127,0,clean
CLM000128,0,clean
CLM000129,0,clean
CLM000130,0,clean
CLM000131,0,clean
CLM000132,0,clean
CLM000133,0,clean
CLM000134,0,clean
CLM000135,0,clean
CLM000136,0,clean
CLM000137,0,clean
CLM000138,0,clean
CLM000139,0,clean
CLM000140,0,clean
CLM000141,0,clean
CLM000142,0,clean
CLM000143,0,clean
CLM000144,0,clean
CLM000145,0,clean
CLM000146,1,random
CLM000147,0,clean
CLM000148,0,clean
CLM000149,0,clean
CLM000150,0,clean
CLM000151,0,clean
CLM000152,0,clean
CLM000153,0,clean
CLM000154,0,clean
CLM000155,0,clean
CLM000156,0,clean
CLM000157,0,clean
CLM000158,0,clean
CLM000159,0,clean
CLM000160,0,clean
CLM000161,0,clean
CLM000162,0,clean
CLM000163,0,clean
CLM000164,0,clean
CLM000165,0,clean
CLM000166,0,clean
CLM000167,0,clean
CLM000168,0,clean
CLM000169,0,clean
CLM000170,0,clean
CLM000171,0,clean
CLM000172,0,clean
CLM000173,0,clean
CLM000174,0,clean
CLM000175,0,clean
CLM000176,0,clean
CLM000177,0,clean
CLM000178,0,clean
CLM000179,0,clean
CLM000180,0,clean
CLM000181,0,clean
CLM000182,0,clean
CLM000183,0,clean
CLM000184,0,clean
CLM000185,0,clean
CLM000186,0,clean
CLM000187,0,clean
CLM000188,0,clean
CLM000189,0,clean
CLM000190,0,clean
CLM000191,0,clean
CLM000192,0,clean
CLM000193,0,clean
CLM000194,0,clean
CLM000195,0,clean
CLM000196,0,clean
CLM000197,0,clean
CLM000198,0,clean
CLM000199,0,clean
CLM000200,0,clean
CLM000201,0,clean
CLM000202,1,random
CLM000203,0,clean
CLM000204,0,clean
CLM000205,0,clean
CLM000206,0,clean
CLM000207,0,clean
CLM000208,0,clean
CLM000209,0,clean
CLM000210,0,clean
CLM000211,0,clean
CLM000212,0,clean
CLM000213,0,clean
CLM000214,0,clean
CLM000215,0,clean
CLM000216,0,clean
CLM000217,0,clean
CLM000218,0,clean
CLM000219,0,clean
CLM000220,0,clean
CLM000221,0,clean
CLM000222,0,clean
CLM000223,0,clean
CLM000224,0,clean
CLM000225,0,clean
CLM000226,0,clean
CLM000227,0,clean
CLM000228,0,clean
CLM000229,0,clean
CLM000230,0,clean
CLM000231,0,clean
CLM000232,0,clean
CLM000233,0,clean
CLM000234,0,clean
CLM000235,0,clean
CLM000236,0,clean
CLM000237,0,clean
CLM000238,0,clean
CLM000239,0,clean
CLM000240,0,clean
CLM000241,0,clean
CLM000242,0,clean
CLM000243,0,clean
CLM000244,0,clean
CLM000245,0,clean
CLM000246,0,clean
CLM000247,0,clean
CLM000248,0,clean
CLM000249,0,clean
CLM000250,0,clean
CLM000251,0,clean
CLM000252,0,clean
CLM000253,0,clean
CLM000254,0,clean
CLM000255,1,random
CLM000256,0,clean
CLM000257,0,clean
CLM000258,0,clean
CLM000259,0,clean
CLM000260,0,clean
CLM000261,0,clean
CLM000262,0,clean
CLM000263,0,clean
CLM000264,0,clean
CLM000265,0,clean
CLM000266,0,clean
CLM000267,0,clean
CLM000268,0,clean
CLM000269,0,clean
CLM000270,0,clean
CLM000271,0,clean
CLM000272,0,clean
CLM000273,0,clean
CLM000274,0,clean
CLM000275,0,clean
CLM000276,0,clean
CLM000277,0,clean
CLM000278,0,clean
CLM000279,0,clean
CLM000280,0,clean
CLM000281,0,clean
CLM000282,0,clean
CLM000283,0,clean
CLM000284,0,clean
CLM000285,0,clean
CLM000286,0,clean
CLM000287,0,clean
CLM000288,0,clean
CLM000289,0,clean
CLM000290,0,clean
CLM000291,0,clean
CLM000292,0,clean
CLM000293,0,clean
CLM000294,0,clean
CLM000295,0,clean
CLM000296,0,clean
CLM000297,0,clean
CLM000298,0,clean
CLM000299,0,clean
CLM000300,1,random
CLM000301,0,clean
CLM000302,0,clean
CLM000303,0,clean
CLM000304,0,clean
CLM000305,0,clean
CLM000306,0,clean
CLM000307,0,clean
CLM000308,0,clean
CLM000309,0,clean
CLM000310,0,clean
CLM000311,0,clean
CLM000312,0,clean
CLM000313,0,clean
CLM000314,0,clean
CLM000315,0,clean
CLM000316,0,clean
CLM000317,0,clean
CLM000318,0,clean
CLM000319,0,clean
CLM000320,0,clean
CLM000321,0,clean
CLM000322,0,clean
CLM000323,0,clean
CLM000324,0,clean
CLM000325,0,clean
CLM000326,0,clean
CLM000327,0,clean
CLM000328,0,clean
CLM000329,0,clean
CLM000330,0,clean
CLM000331,0,clean
CLM000332,0,clean
CLM000333,0,clean
CLM000334,0,clean
CLM000335,0,clean
CLM000336,0,clean
CLM000337,0,clean
CLM000338,0,clean
CLM000339,0,clean
CLM000340,0,clean
CLM000341,0,clean
CLM000342,0,clean
CLM000343,0,clean
CLM000344,0,clean
CLM000345,0,clean
CLM000346,0,clean
CLM000347,0,clean
CLM000348,0,clean
CLM000349,0,clean
CLM000350,0,clean
CLM000351,0,clean
CLM000352,0,clean
CLM000353,0,clean
CLM000354,0,clean
CLM000355,0,clean
CLM000356,0,clean
CLM000357,0,clean
CLM000358,0,clean
CLM000359,0,clean
CLM000360,0,clean
CLM000361,0,clean
CLM000362,0,clean
CLM000363,0,clean
CLM000364,0,clean
CLM000365,0,clean
CLM000366,0,clean
CLM000367,0,clean
CLM000368,0,clean
CLM000369,0,clean
CLM000370,0,clean
CLM000371,0,clean
CLM000372,0,clean
CLM000373,0,clean
CLM000374,0,clean
CLM000375,0,clean
CLM000376,0,clean
CLM000377,0,clean
CLM000378,0,clean
CLM000379,0,clean
CLM000380,0,clean
CLM000381,0,clean
CLM000382,0,clean
CLM000383,0,clean
CLM000384,0,clean
CLM000385,0,clean
CLM000386,0,clean
CLM000387,0,clean
CLM000388,0,clean
CLM000389,0,clean
CLM000390,0,clean
CLM000391,0,clean
CLM000392,0,clean
CLM000393,0,clean
CLM000394,0,clean
CLM000395,0,clean
CLM000396,0,clean
CLM000397,0,clean
CLM000398,0,clean
CLM000399,0,clean
CLM000400,0,clean
CLM000401,0,clean
CLM000402,0,clean
CLM000403,0,clean
CLM000404,0,clean
CLM000405,0,clean
CLM000406,0,clean
CLM000407,0,clean
CLM000408,0,clean
CLM000409,0,clean
CLM000410,0,clean
CLM000411,0,clean
CLM000412,0,clean
CLM000413,0,clean
CLM000414,0,clean
CLM000415,0,clean
CLM000416,0,clean
CLM000417,0,clean
CLM000418,0,clean
CLM000419,0,clean
CLM000420,0,clean
CLM000421,0,clean
CLM000422,0,clean
CLM000423,0,clean
CLM000424,0,clean
CLM000425,0,clean
CLM000426,0,clean
CLM000427,0,clean
CLM000428,0,clean
CLM000429,0,clean
CLM000430,0,clean
CLM000431,0,clean
CLM000432,0,clean
CLM000433,0,clean
CLM000434,0,clean
CLM000435,0,clean
CLM000436,0,clean
CLM000437,0,clean
CLM000438,0,clean
CLM000439,0,clean
CLM000440,0,clean
CLM000441,0,clean
CLM000442,0,clean
CLM000443,0,clean
CLM000444,0,clean
CLM000445,0,clean
CLM000446,0,clean
CLM000447,0,clean
CLM000448,0,clean
CLM000449,0,clean
CLM000450,0,clean
CLM000451,0,clean
CLM000452,0,clean
CLM000453,0,clean
CLM000454,0,clean
CLM000455,0,clean
CLM000456,0,clean
CLM000457,0,clean
CLM000458,0,clean
CLM000459,0,clean
CLM000460,0,clean
CLM000461,0,clean
CLM000462,0,clean
CLM000463,0,clean
CLM000464,0,clean
CLM000465,0,clean
CLM000466,0,clean
CLM000467,0,clean
CLM000468,0,clean
CLM000469,0,clean
CLM000470,0,clean
CLM000471,0,clean
CLM000472,0,clean
CLM000473,0,clean
CLM000474,0,clean
CLM000475,0,clean
CLM000476,0,clean
CLM000477,0,clean
CLM000478,0,clean
CLM000479,0,clean
CLM000480,0,clean
CLM000481,0,clean
CLM000482,0,clean
CLM000483,0,clean
CLM000484,0,clean
CLM000485,0,clean
CLM000486,0,clean
CLM000487,0,clean
CLM000488,0,clean
CLM000489,0,clean
CLM000490,0,clean
CLM000491,0,clean
CLM000492,0,clean
CLM000493,0,clean
CLM000494,0,clean
CLM000495,0,clean
CLM000496,0,clean
CLM000497,0,clean
CLM000498,0,clean
CLM000499,0,clean
CLM000500,0,clean
CLM000501,0,clean
CLM000502,0,clean
CLM000503,0,clean
CLM000504,0,clean
CLM000505,0,clean
CLM000506,0,clean
CLM000507,0,clean
CLM000508,0,clean
CLM000509,0,clean
CLM000510,0,clean
CLM000511,0,clean
CLM000512,0,clean
CLM000513,0,clean
CLM000514,0,clean
CLM000515,0,clean
CLM000516,0,clean
CLM000517,0,clean
CLM000518,0,clean
CLM000519,0,clean
CLM000520,0,clean
CLM000521,0,clean
CLM000522,0,clean
CLM000523,0,clean
CLM000524,0,clean
CLM000525,0,clean
CLM000526,0,clean
CLM000527,0,clean
CLM000528,0,clean
CLM000529,0,clean
CLM000530,0,clean
CLM000531,0,clean
CLM000532,0,clean
CLM000533,0,clean
CLM000534,0,clean
CLM000535,0,clean
CLM000536,0,clean
CLM000537,0,clean
CLM000538,0,clean
CLM000539,0,clean
CLM000540,1,random
CLM000541,1,random
CLM000542,0,clean
CLM000543,0,clean
CLM000544,0,clean
CLM000545,0,clean
CLM000546,0,clean
CLM000547,0,clean
CLM000548,0,clean
CLM000549,0,clean
CLM000550,0,clean
CLM000551,0,clean
CLM000552,0,clean
CLM000553,0,clean
CLM000554,0,clean
CLM000555,0,clean
CLM000556,0,clean
CLM000557,0,clean
CLM000558,0,clean
CLM000559,0,clean
CLM000560,0,clean
CLM000561,0,clean
CLM000562,0,clean
CLM000563,0,clean
CLM000564,0,clean
CLM000565,0,clean
CLM000566,0,clean
CLM000567,0,clean
CLM000568,0,clean
CLM000569,0,clean
CLM000570,0,clean
CLM000571,0,clean
CLM000572,0,clean
CLM000573,0,clean
CLM000574,0,clean
CLM000575,0,clean
CLM000576,0,clean
CLM000577,0,clean
CLM000578,0,clean
CLM000579,0,clean
CLM000580,0,clean
CLM000581,0,clean
CLM000582,0,clean
CLM000583,0,clean
CLM000584,0,clean
CLM000585,0,clean
CLM000586,0,clean
CLM000587,0,clean
CLM000588,0,clean
CLM000589,0,clean
CLM000590,0,clean
CLM000591,0,clean
CLM000592,0,clean
CLM000593,0,clean
CLM000594,0,clean
CLM000595,0,clean
CLM000596,0,clean
CLM000597,0,clean
CLM000598,0,clean
CLM000599,0,clean
CLM000600,0,clean
CLM000601,0,clean
CLM000602,0,clean
CLM000603,0,clean
CLM000604,0,clean
CLM000605,0,clean
CLM000606,1,random
CLM000607,0,clean
CLM000608,0,clean
CLM000609,0,clean
CLM000610,0,clean
CLM000611,0,clean
CLM000612,0,clean
CLM000613,0,clean
CLM000614,0,clean
CLM000615,0,clean
CLM000616,0,clean
CLM000617,0,clean
CLM000618,0,clean
CLM000619,0,clean
CLM000620,0,clean
CLM000621,0,clean
CLM000622,0,clean
CLM000623,0,clean
CLM000624,0,clean
CLM000625,0,clean
CLM000626,0,clean
CLM000627,0,clean
CLM000628,1,random
CLM000629,0,clean
CLM000630,0,clean
CLM000631,0,clean
CLM000632,0,clean
CLM000633,0,clean
CLM000634,0,clean
CLM000635,0,clean
CLM000636,0,clean
CLM000637,0,clean
CLM000638,0,clean
CLM000639,0,clean
CLM000640,0,clean
CLM000641,0,clean
CLM000642,0,clean
CLM000643,0,clean
CLM000644,0,clean
CLM000645,0,clean
CLM000646,0,clean
CLM000647,0,clean
CLM000648,0,clean
CLM000649,0,clean
CLM000650,0,clean
CLM000651,0,clean
CLM000652,0,clean
CLM000653,0,clean
CLM000654,0,clean
CLM000655,0,clean
CLM000656,0,clean
CLM000657,0,clean
CLM000658,0,clean
CLM000659,0,clean
CLM000660,0,clean
CLM000661,0,clean
CLM000662,0,clean
CLM000663,0,clean
CLM000664,0,clean
CLM000665,0,clean
CLM000666,0,clean
CLM000667,0,clean
CLM000668,0,clean
CLM000669,0,clean
CLM000670,0,clean
CLM000671,0,clean
CLM000672,0,clean
CLM000673,0,clean
CLM000674,0,clean
CLM000675,0,clean
CLM000676,0,clean
CLM000677,0,clean
CLM000678,0,clean
CLM000679,0,clean
CLM000680,0,clean
CLM000681,0,clean
CLM000682,0,clean
CLM000683,0,clean
CLM000684,0,clean
CLM000685,0,clean
CLM000686,0,clean
CLM000687,0,clean
CLM000688,0,clean
CLM000689,0,clean
CLM000690,0,clean
CLM000691,0,clean
CLM000692,0,clean
CLM000693,0,clean
CLM000694,0,clean
CLM000695,0,clean
CLM000696,0,clean
CLM000697,0,clean
CLM000698,1,random
CLM000699,0,clean
CLM000700,0,clean
CLM000701,0,clean
CLM000702,0,clean
CLM000703,0,clean
CLM000704,0,clean
CLM000705,0,clean
CLM000706,0,clean
CLM000707,0,clean
CLM000708,0,clean
CLM000709,0,clean
CLM000710,0,clean
CLM000711,0,clean
CLM000712,0,clean
CLM000713,0,clean
CLM000714,0,clean
CLM000715,0,clean
CLM000716,0,clean
CLM000717,0,clean
CLM000718,0,clean
CLM000719,1,random
CLM000720,0,clean
CLM000721,0,clean
CLM000722,0,clean
CLM000723,0,clean
CLM000724,0,clean
CLM000725,0,clean
CLM000726,0,clean
CLM000727,0,clean
CLM000728,0,clean
CLM000729,0,clean
CLM000730,0,clean
CLM000731,0,clean
CLM000732,0,clean
CLM000733,0,clean
CLM000734,0,clean
CLM000735,0,clean
CLM000736,0,clean
CLM000737,0,clean
CLM000738,0,clean
CLM000739,0,clean
CLM000740,0,clean
CLM000741,0,clean
CLM000742,0,clean
CLM000743,0,clean
CLM000744,0,clean
CLM000745,0,clean
CLM000746,0,clean
CLM000747,0,clean
CLM000748,0,clean
CLM000749,1,random
CLM000750,0,clean
CLM000751,0,clean
CLM000752,0,clean
CLM000753,0,clean
CLM000754,0,clean
CLM000755,0,clean
CLM000756,0,clean
CLM000757,0,clean
CLM000758,0,clean
CLM000759,0,clean
CLM000760,0,clean
CLM000761,0,clean
CLM000762,0,clean
CLM000763,0,clean
CLM000764,0,clean
CLM000765,0,clean
CLM000766,0,clean
CLM000767,0,clean
CLM000768,0,clean
CLM000769,0,clean
CLM000770,0,clean
CLM000771,0,clean
CLM000772,0,clean
CLM000773,0,clean
CLM000774,0,clean
CLM000775,0,clean
CLM000776,0,clean
CLM000777,0,clean
CLM000778,0,clean
CLM000779,0,clean
CLM000780,0,clean
CLM000781,0,clean
CLM000782,0,clean
CLM000783,0,clean
CLM000784,0,clean
CLM000785,0,clean
CLM000786,0,clean
CLM000787,0,clean
CLM000788,0,clean
CLM000789,0,clean
CLM000790,0,clean
CLM000791,0,clean
CLM000792,0,clean
CLM000793,0,clean
CLM000794,0,clean
CLM000795,0,clean
CLM000796,0,clean
CLM000797,0,clean
CLM000798,0,clean
CLM000799,0,clean
CLM000800,0,clean
CLM000801,0,clean
CLM000802,0,clean
CLM000803,0,clean
CLM000804,0,clean
CLM000805,0,clean
CLM000806,0,clean
CLM000807,0,clean
CLM000808,0,clean
CLM000809,0,clean
CLM000810,0,clean
CLM000811,0,clean
CLM000812,0,clean
CLM000813,0,clean
CLM000814,0,clean
CLM000815,0,clean
CLM000816,0,clean
CLM000817,0,clean
CLM000818,0,clean
CLM000819,0,clean
CLM000820,0,clean
CLM000821,0,clean
CLM000822,0,clean
CLM000823,0,clean
CLM000824,0,clean
CLM000825,0,clean
CLM000826,0,clean
CLM000827,0,clean
CLM000828,0,clean
CLM000829,0,clean
CLM000830,0,clean
CLM000831,0,clean
CLM000832,0,clean
CLM000833,0,clean
CLM000834,0,clean
CLM000835,0,clean
CLM000836,0,clean
CLM000837,0,clean
CLM000838,0,clean
CLM000839,0,clean
CLM000840,0,clean
CLM000841,0,clean
CLM000842,0,clean
CLM000843,0,clean
CLM000844,0,clean
CLM000845,0,clean
CLM000846,0,clean
CLM000847,0,clean
CLM000848,0,clean
CLM000849,0,clean
CLM000850,0,clean
CLM000851,0,clean
CLM000852,0,clean
CLM000853,0,clean
CLM000854,0,clean
CLM000855,0,clean
CLM000856,0,clean
CLM000857,0,clean
CLM000858,0,clean
CLM000859,0,clean
CLM000860,0,clean
CLM000861,0,clean
CLM000862,0,clean
CLM000863,0,clean
CLM000864,0,clean
CLM000865,0,clean
CLM000866,0,clean
CLM000867,0,clean
CLM000868,0,clean
CLM000869,0,clean
CLM000870,0,clean
CLM000871,0,clean
CLM000872,0,clean
CLM000873,0,clean
CLM000874,0,clean
CLM000875,0,clean
CLM000876,0,clean
CLM000877,0,clean
CLM000878,0,clean
CLM000879,0,clean
CLM000880,0,clean
CLM000881,0,clean
CLM000882,0,clean
CLM000883,0,clean
CLM000884,0,clean
CLM000885,0,clean
CLM000886,0,clean
CLM000887,0,clean
CLM000888,0,clean
CLM000889,0,clean
CLM000890,0,clean
CLM000891,0,clean
CLM000892,0,clean
CLM000893,0,clean
CLM000894,0,clean
CLM000895,0,clean
CLM000896,0,clean
CLM000897,0,clean
CLM000898,0,clean
CLM000899,0,clean
CLM000900,0,clean
CLM000901,0,clean
CLM000902,0,clean
CLM000903,0,clean
CLM000904,0,clean
CLM000905,0,clean
CLM000906,0,clean
CLM000907,0,clean
CLM000908,0,clean
CLM000909,0,clean
CLM000910,0,clean
CLM000911,0,clean
CLM000912,0,clean
CLM000913,0,clean
CLM000914,0,clean
CLM000915,0,clean
CLM000916,0,clean
CLM000917,0,clean
CLM000918,0,clean
CLM000919,0,clean
CLM000920,0,clean
CLM000921,0,clean
CLM000922,0,clean
CLM000923,0,clean
CLM000924,0,clean
CLM000925,0,clean
CLM000926,0,clean
CLM000927,0,clean
CLM000928,0,clean
CLM000929,0,clean
CLM000930,0,clean
CLM000931,0,clean
CLM000932,0,clean
CLM000933,0,clean
CLM000934,0,clean
CLM000935,0,clean
CLM000936,0,clean
CLM000937,0,clean
CLM000938,0,clean
CLM000939,0,clean
CLM000940,0,clean
CLM000941,0,clean
CLM000942,0,clean
CLM000943,0,clean
CLM000944,0,clean
CLM000945,0,clean
CLM000946,0,clean
CLM000947,0,clean
CLM000948,0,clean
CLM000949,0,clean
CLM000950,0,clean
CLM000951,0,clean
CLM000952,0,clean
CLM000953,0,clean
CLM000954,0,clean
CLM000955,0,clean
CLM000956,0,clean
CLM000957,0,clean
CLM000958,0,clean
CLM000959,0,clean
CLM000960,0,clean
CLM000961,0,clean
CLM000962,0,clean
CLM000963,0,clean
CLM000964,0,clean
CLM000965,0,clean
CLM000966,0,clean
CLM000967,0,clean
CLM000968,0,clean
CLM000969,0,clean
CLM000970,0,clean
CLM000971,0,clean
CLM000972,0,clean
CLM000973,0,clean
CLM000974,0,clean
CLM000975,0,clean
CLM000976,0,clean
CLM000977,0,clean
CLM000978,0,clean
CLM000979,0,clean
CLM000980,0,clean
CLM000981,0,clean
CLM000982,0,clean
CLM000983,0,clean
CLM000984,1,random
CLM000985,0,clean
CLM000986,0,clean
CLM000987,0,clean
CLM000988,0,clean
CLM000989,0,clean
CLM000990,0,clean
CLM000991,0,clean
CLM000992,0,clean
CLM000993,0,clean
CLM000994,0,clean
CLM000995,0,clean
CLM000996,0,clean
CLM000997,0,clean
CLM000998,0,clean
CLM000999,0,clean
CLM001000,0,clean
CLM001001,0,clean
CLM001002,0,clean
CLM001003,0,clean
CLM001004,0,clean
CLM001005,0,clean
CLM001006,0,clean
CLM001007,0,clean
CLM001008,0,clean
CLM001009,0,clean
CLM001010,0,clean
CLM001011,0,clean
CLM001012,0,clean
CLM001013,0,clean
CLM001014,0,clean
CLM001015,0,clean
CLM001016,0,clean
CLM001017,0,clean
CLM001018,0,clean
CLM001019,0,clean
CLM001020,0,clean
CLM001021,0,clean
CLM001022,0,clean
CLM001023,0,clean
CLM001024,0,clean
CLM001025,0,clean
CLM001026,0,clean
CLM001027,0,clean
CLM001028,0,clean
CLM001029,0,clean
CLM001030,0,clean
CLM001031,0,clean
CLM001032,0,clean
CLM001033,0,clean
CLM001034,0,clean
CLM001035,0,clean
CLM001036,0,clean
CLM001037,0,clean
CLM001038,0,clean
CLM001039,0,clean
CLM001040,0,clean
CLM001041,0,clean
CLM001042,0,clean
CLM001043,0,clean
CLM001044,0,clean
CLM001045,0,clean
CLM001046,0,clean
CLM001047,0,clean
CLM001048,0,clean
CLM001049,0,clean
CLM001050,0,clean
CLM001051,1,random
CLM001052,0,clean
CLM001053,0,clean
CLM001054,0,clean
CLM001055,0,clean
CLM001056,0,clean
CLM001057,0,clean
CLM001058,0,clean
CLM001059,0,clean
CLM001060,0,clean
CLM001061,0,clean
CLM001062,0,clean
CLM001063,0,clean
CLM001064,0,clean
CLM001065,0,clean
CLM001066,0,clean
CLM001067,0,clean
CLM001068,0,clean
CLM001069,0,clean
CLM001070,0,clean
CLM001071,0,clean
CLM001072,0,clean
CLM001073,0,clean
CLM001074,0,clean
CLM001075,0,clean
CLM001076,0,clean
CLM001077,0,clean
CLM001078,0,clean
CLM001079,0,clean
CLM001080,0,clean
CLM001081,0,clean
CLM001082,0,clean
CLM001083,0,clean
CLM001084,0,clean
CLM001085,0,clean
CLM001086,0,clean
CLM001087,0,clean
CLM001088,0,clean
CLM001089,0,clean
CLM001090,0,clean
CLM001091,0,clean
CLM001092,0,clean
CLM001093,0,clean
CLM001094,0,clean
CLM001095,0,clean
CLM001096,0,clean
CLM001097,0,clean
CLM001098,0,clean
CLM001099,0,clean
CLM001100,0,clean
CLM001101,0,clean
CLM001102,0,clean
CLM001103,0,clean
CLM001104,0,clean
CLM001105,1,random
CLM001106,0,clean
CLM001107,0,clean
CLM001108,0,clean
CLM001109,0,clean
CLM001110,0,clean
CLM001111,0,clean
CLM001112,1,random
CLM001113,0,clean
CLM001114,0,clean
CLM001115,0,clean
CLM001116,0,clean
CLM001117,0,clean
CLM001118,0,clean
CLM001119,0,clean
CLM001120,0,clean
CLM001121,0,clean
CLM001122,0,clean
CLM001123,0,clean
CLM001124,0,clean
CLM001125,0,clean
CLM001126,0,clean
CLM001127,0,clean
CLM001128,0,clean
CLM001129,0,clean
CLM001130,0,clean
CLM001131,0,clean
CLM001132,0,clean
CLM001133,0,clean
CLM001134,0,clean
CLM001135,0,clean
CLM001136,0,clean
CLM001137,0,clean
CLM001138,0,clean
CLM001139,0,clean
CLM001140,0,clean
CLM001141,0,clean
CLM001142,0,clean
CLM001143,0,clean
CLM001144,0,clean
CLM001145,0,clean
CLM001146,0,clean
CLM001147,0,clean
CLM001148,0,clean
CLM001149,0,clean
CLM001150,0,clean
CLM001151,0,clean
CLM001152,0,clean
CLM001153,0,clean
CLM001154,0,clean
CLM001155,0,clean
CLM001156,0,clean
CLM001157,0,clean
CLM001158,0,clean
CLM001159,1,ring
CLM001160,0,clean
CLM001161,0,clean
CLM001162,0,clean
CLM001163,0,clean
CLM001164,0,clean
CLM001165,0,clean
CLM001166,0,clean
CLM001167,0,clean
CLM001168,0,clean
CLM001169,0,clean
CLM001170,0,clean
CLM001171,0,clean
CLM001172,0,clean
CLM001173,0,clean
CLM001174,0,clean
CLM001175,0,clean
CLM001176,1,random
CLM001177,0,clean
CLM001178,0,clean
CLM001179,0,clean
CLM001180,0,clean
CLM001181,0,clean
CLM001182,0,clean
CLM001183,0,clean
CLM001184,0,clean
CLM001185,0,clean
CLM001186,0,clean
CLM001187,0,clean
CLM001188,0,clean
CLM001189,0,clean
CLM001190,0,clean
CLM001191,1,random
CLM001192,0,clean
CLM001193,0,clean
CLM001194,0,clean
CLM001195,0,clean
CLM001196,0,clean
CLM001197,0,clean
CLM001198,0,clean
CLM001199,0,clean
CLM001200,0,clean
CLM001201,0,clean
CLM001202,0,clean
CLM001203,0,clean
CLM001204,0,clean
CLM001205,0,clean
CLM001206,0,clean
CLM001207,0,clean
CLM001208,0,clean
CLM001209,0,clean
CLM001210,0,clean
CLM001211,0,clean
CLM001212,0,clean
CLM001213,0,clean
CLM001214,0,clean
CLM001215,0,clean
CLM001216,0,clean
CLM001217,0,clean
CLM001218,0,clean
CLM001219,0,clean
CLM001220,0,clean
CLM001221,0,clean
CLM001222,0,clean
CLM001223,0,clean
CLM001224,0,clean
CLM001225,0,clean
CLM001226,0,clean
CLM001227,0,clean
CLM001228,0,clean
CLM001229,0,clean
CLM001230,0,clean
CLM001231,0,clean
CLM001232,0,clean
CLM001233,0,clean
CLM001234,0,clean
CLM001235,0,clean
CLM001236,0,clean
CLM001237,0,clean
CLM001238,0,clean
CLM001239,0,clean
CLM001240,0,clean
CLM001241,0,clean
CLM001242,0,clean
CLM001243,0,clean
CLM001244,0,clean
CLM001245,0,clean
CLM001246,0,clean
CLM001247,1,random
CLM001248,0,clean
CLM001249,0,clean
CLM001250,0,clean
CLM001251,0,clean
CLM001252,0,clean
CLM001253,0,clean
CLM001254,0,clean
CLM001255,0,clean
CLM001256,0,clean
CLM001257,0,clean
CLM001258,0,clean
CLM001259,0,clean
CLM001260,0,clean
CLM001261,0,clean
CLM001262,0,clean
CLM001263,0,clean
CLM001264,0,clean
CLM001265,0,clean
CLM001266,0,clean
CLM001267,0,clean
CLM001268,0,clean
CLM001269,0,clean
CLM001270,0,clean
CLM001271,0,clean
