policy_id,customer_id,product_line,sum_insured,annual_premium,deductible,start_date,end_date,duration_months,agent_id,channel,riders,renewal_status,lapse_flag,state
POL000022,CUST037280,Health,2122889.0,104413.98,8399.55,2023-04-27,2024-04-21,12.0,AGT000410,Agent,None,Active,False,Maharashtra
POL000023,CUST015805,Health,11946627.0,589606.74,33881.86,2020-05-16,2022-05-06,24.0,AGT000097,Online,None,Active,False,Uttar Pradesh
POL000024,CUST008738,Travel,296821.0,12736.03,974.83,2022-02-15,2023-02-10,12.0,AGT000094,Direct,Zero Dep,Renewed,True,Maharashtra
POL000025,CUST021211,Life,92103.0,1454.17,123.44,2024-02-10,2027-01-25,36.0,AGT000161,Agent,None,Renewed,False,West Bengal
POL000026,CUST044847,Travel,5146924.0,241737.93,28923.02,2023-10-03,2024-09-27,12.0,AGT000249,Direct,None,Active,False,Maharashtra
POL000027,CUST011051,Health,266040.0,12380.43,1322.85,2023-01-31,2025-01-20,24.0,AGT000296,Agent,None,Active,False,Punjab
POL000028,CUST013817,Motor,9158402.0,287858.07,33236.5,2021-02-03,2022-01-29,12.0,AGT000450,Agent,None,Active,False,Uttar Pradesh
POL000029,CUST033143,Travel,128142.0,6386.14,595.2,2023-05-04,2024-04-28,12.0,AGT000106,Direct,Critical Illness,Renewed,False,Gujarat
POL000030,CUST015944,Motor,1326333.0,35854.07,3524.3,2020-05-25,2022-05-15,24.0,AGT000469,Bancassurance,Accidental Death,Lapsed,False,Maharashtra
POL000031,CUST024730,Crop,290800.0,21819.16,1421.51,2022-09-04,2023-08-30,12.0,AGT000063,Agent,None,Active,False,Rajasthan
POL000032,CUST002245,Motor,192603.0,5031.54,927.47,2023-11-25,2025-11-14,24.0,AGT000442,Bancassurance,Critical Illness,Renewed,False,Tamil Nadu
POL000033,CUST039843,Health,239661.0,11551.1,2200.41,2024-01-16,2025-01-10,12.0,AGT000391,Bancassurance,None,Lapsed,False,Madhya Pradesh
POL000034,CUST008784,Motor,6962271.0,149208.74,25381.59,2022-09-11,2023-09-06,12.0,AGT000035,Agent,None,Renewed,False,Uttar Pradesh
POL000035,CUST028046,Motor,6242795.0,188725.98,25495.15,2020-11-26,2021-11-21,12.0,AGT000337,Agent,None,Active,False,Telangana
POL000036,CUST012448,Motor,13718194.0,400552.94,52866.97,2020-09-26,2021-09-21,12.0,AGT000126,Online,Accidental Death,Renewed,False,Uttar Pradesh
POL000037,CUST027522,Health,94010.0,3373.04,610.8,2022-10-06,2023-10-01,12.0,AGT000113,Agent,None,Active,False,Gujarat
POL000038,CUST008401,Health,2215362.0,109530.58,10973.31,2024-02-15,2025-02-09,12.0,AGT000011,Agent,Zero Dep,Cancelled,False,West Bengal
POL000039,CUST012531,Marine,653121.0,11125.53,673.55,2021-10-03,2022-09-28,12.0,AGT000201,Agent,None,Renewed,False,Odisha
POL000040,CUST014326,Marine,584980.0,14272.98,2757.79,2023-08-30,2024-08-24,12.0,AGT000300,Agent,Accidental Death,Active,False,Rajasthan
POL000041,CUST030564,Motor,12708762.0,381590.06,44498.29,2024-06-09,2025-06-04,12.0,AGT000091,Agent,None,Active,False,Maharashtra
POL000042,CUST024707,Crop,130950.0,7107.51,560.42,2021-03-20,2023-03-10,24.0,AGT000343,Direct,Zero Dep,Active,True,Assam
POL000043,CUST004953,Marine,167706.0,3351.7,642.23,2020-11-04,2022-10-25,24.0,AGT000052,Online,None,Active,False,Uttar Pradesh
POL000044,CUST010473,Home,215509.0,1943.57,303.1,2020-07-19,2021-07-14,12.0,AGT000072,Agent,Accidental Death,Active,False,Odisha
POL000045,CUST045452,Motor,4557919.0,92232.4,14714.81,2022-02-01,2023-01-27,12.0,AGT000010,Agent,None,Lapsed,False,Assam
POL000046,CUST040708,Motor,820301.0,18749.25,1042.58,2020-07-12,2021-07-07,12.0,AGT000211,Agent,Accidental Death,Renewed,False,Uttarakhand
POL000047,CUST024587,Home,3093041.0,26035.39,4409.03,2021-01-10,2022-01-05,12.0,AGT000188,Agent,Accidental Death,Renewed,False,Andhra Pradesh
POL000048,CUST035188,Motor,111625.0,3445.74,636.4,2021-03-13,2022-03-08,12.0,AGT000168,Online,Zero Dep,Active,True,Bihar
POL000049,CUST012563,Health,1013211.0,46288.39,2831.79,2024-04-18,2029-03-23,60.0,AGT000444,Online,None,Renewed,False,Chhattisgarh
POL000050,CUST014670,Life,276999.0,4820.77,745.32,2020-01-19,2021-01-13,12.0,AGT000088,Agent,Accidental Death,Active,False,Uttar Pradesh
POL000051,CUST015755,Motor,83379.0,2616.12,144.8,2020-07-29,2021-07-24,12.0,AGT000412,Agent,None,Renewed,False,Uttar Pradesh
POL000052,CUST044420,Home,848184.0,8333.39,1208.31,2024-04-02,2025-03-28,12.0,AGT000295,Agent,None,Lapsed,False,Karnataka
POL000053,CUST004596,Crop,13309857.0,822413.4,106902.71,2020-07-27,2021-07-22,12.0,AGT000147,Direct,None,Renewed,False,Kerala
POL000054,CUST049646,Health,2244668.0,104456.2,5804.31,2023-11-22,2024-11-16,12.0,AGT000455,Agent,Accidental Death,Active,False,Andhra Pradesh
POL000055,CUST007866,Life,4401013.0,67577.8,13446.77,2021-07-06,2023-06-26,24.0,AGT000410,Bancassurance,Accidental Death,Active,False,Chhattisgarh
POL000056,CUST006266,Motor,147242.0,4721.11,355.94,2021-11-24,2023-11-14,24.0,AGT000107,Agent,Accidental Death,Active,False,Telangana
POL000057,CUST003045,Motor,1409527.0,31137.78,4499.34,2021-08-07,2022-08-02,12.0,AGT000356,Online,Accidental Death,Active,False,Tamil Nadu
POL000058,CUST025650,Health,609411.0,20386.42,2927.07,2023-03-17,2026-03-01,36.0,AGT000071,Direct,Zero Dep,Active,False,Andhra Pradesh
POL000059,CUST014209,Home,206378.0,2087.04,391.75,2023-09-02,2024-08-27,12.0,AGT000473,Direct,Critical Illness,Active,False,Chhattisgarh
POL000060,CUST041271,Home,1270880.0,8647.81,1497.8,2023-01-05,2027-12-10,60.0,AGT000337,Direct,Critical Illness,Active,False,Tamil Nadu
POL000061,CUST012272,Life,6201307.0,104768.75,11000.65,2023-01-01,2023-12-27,12.0,AGT000486,Broker,Critical Illness,Active,False,Maharashtra
POL000062,CUST020494,Health,124408.0,4404.27,685.68,2021-10-19,2022-10-14,12.0,AGT000214,Broker,Critical Illness,Renewed,False,Gujarat
POL000063,CUST021041,Health,547056.0,24773.7,4124.43,2023-04-14,2024-04-08,12.0,AGT000364,Agent,None,Renewed,False,Tamil Nadu
POL000064,CUST004241,Life,13683406.0,202402.31,29064.73,2021-04-02,2022-03-28,12.0,AGT000487,Direct,None,Lapsed,False,Maharashtra
POL000065,CUST049461,Motor,3094145.0,82691.09,10469.84,2023-03-25,2025-03-14,24.0,AGT000279,Direct,None,Active,False,Tamil Nadu
POL000066,CUST044314,Health,1243157.0,55079.7,10331.07,2020-06-19,2021-06-14,12.0,AGT000418,Agent,None,Active,False,Madhya Pradesh
POL000067,CUST037570,Marine,2831998.0,64149.17,12204.78,2023-07-08,2025-06-27,24.0,AGT000155,Direct,None,Active,True,Telangana
POL000068,CUST039019,Motor,6717092.0,191215.37,11345.38,2023-03-21,2026-03-05,36.0,AGT000181,Bancassurance,None,Active,False,Odisha
POL000069,CUST003620,Travel,4317325.0,258695.63,35234.64,2023-02-11,2024-02-06,12.0,AGT000345,Agent,Critical Illness,Active,False,West Bengal
POL000070,CUST018602,Home,590170.0,5947.1,767.29,2023-03-30,2024-03-24,12.0,AGT000124,Agent,None,Renewed,False,West Bengal
POL000071,CUST013781,Life,3474908.0,63526.97,5548.2,2020-01-21,2021-01-15,12.0,AGT000480,Direct,None,Renewed,False,Maharashtra
POL000072,CUST026898,Life,128327.0,1589.44,308.59,2021-06-15,2023-06-05,24.0,AGT000368,Agent,Critical Illness,Renewed,False,Maharashtra
POL000073,CUST003878,Travel,106033.0,4991.1,426.6,2023-08-28,2024-08-22,12.0,AGT000257,Online,Accidental Death,Lapsed,False,Uttar Pradesh
POL000074,CUST033945,Home,3138701.0,24430.97,4665.63,2021-07-10,2022-07-05,12.0,AGT000220,Agent,Accidental Death,Active,False,Kerala
POL000075,CUST048643,Health,1028610.0,52048.36,9743.97,2021-12-30,2022-12-25,12.0,AGT000230,Bancassurance,Critical Illness,Active,False,Bihar
POL000076,CUST021016,Home,262008.0,2381.95,246.96,2022-01-15,2023-01-10,12.0,AGT000374,Agent,None,Active,False,Karnataka
POL000077,CUST039675,Travel,5828824.0,329931.01,41031.76,2020-05-19,2023-05-04,36.0,AGT000300,Agent,None,Active,False,Himachal Pradesh
POL000078,CUST044002,Life,13732059.0,262498.53,37564.6,2023-01-11,2024-01-06,12.0,AGT000172,Agent,Accidental Death,Renewed,False,Tamil Nadu
POL000079,CUST036231,Health,1069352.0,42763.09,6122.72,2021-04-03,2023-03-24,24.0,AGT000002,Direct,Zero Dep,Lapsed,False,Maharashtra
POL000080,CUST047474,Travel,254416.0,16486.74,3037.34,2024-01-26,2027-01-10,36.0,AGT000276,Agent,Accidental Death,Active,False,Bihar
POL000081,CUST016177,Travel,1167217.0,71092.72,8158.53,2022-08-21,2024-08-10,24.0,AGT000286,Agent,None,Active,False,Assam
POL000082,CUST035493,Crop,256044.0,12368.14,2354.94,2020-12-03,2023-11-18,36.0,AGT000493,Agent,None,Active,False,Uttar Pradesh
POL000083,CUST008981,Motor,1169161.0,24145.02,4723.6,2023-11-08,2024-11-02,12.0,AGT000219,Direct,Zero Dep,Cancelled,False,Bihar
POL000084,CUST010495,Health,2993865.0,148053.38,15781.87,2022-10-31,2023-10-26,12.0,AGT000117,Agent,None,Active,False,Punjab
POL000085,CUST035054,Motor,410020.0,11205.73,1568.07,2022-01-20,2025-01-04,36.0,AGT000040,Agent,Critical Illness,Active,False,Tamil Nadu
POL000086,CUST046206,Health,2822329.0,119111.51,15974.37,2024-02-19,2027-02-03,36.0,AGT000079,Broker,Critical Illness,Cancelled,False,Rajasthan
POL000087,CUST044133,Motor,273107.0,8490.57,1649.84,2022-07-23,2023-07-18,12.0,AGT000478,Direct,Accidental Death,Active,False,West Bengal
POL000088,CUST007392,Health,5455852.0,191338.62,20774.03,2024-06-14,2025-06-09,12.0,AGT000405,Direct,Critical Illness,Cancelled,False,Uttar Pradesh
POL000089,CUST026715,Motor,130835.0,3625.52,430.82,2020-01-18,2023-01-02,36.0,AGT000441,Broker,Accidental Death,Renewed,True,West Bengal
POL000090,CUST017373,Health,7271651.0,286284.9,14432.58,2023-10-01,2024-09-25,12.0,AGT000344,Agent,Critical Illness,Active,False,Uttar Pradesh
POL000091,CUST038939,Motor,14758023.0,440262.99,50451.09,2022-01-27,2027-01-01,60.0,AGT000132,Online,None,Lapsed,False,Rajasthan
POL000092,CUST006228,Home,292753.0,2153.18,392.17,2021-04-17,2022-04-12,12.0,AGT000094,Agent,None,Renewed,False,Madhya Pradesh
POL000093,CUST008286,Health,114752.0,5834.46,657.65,2024-04-03,2026-03-24,24.0,AGT000345,Agent,None,Active,False,Uttar Pradesh
POL000094,CUST036613,Home,1191441.0,11218.03,1424.31,2022-07-07,2025-06-21,36.0,AGT000068,Agent,Critical Illness,Active,False,Gujarat
POL000095,CUST040051,Health,529978.0,17915.63,1749.62,2024-04-16,2025-04-11,12.0,AGT000383,Agent,Zero Dep,Renewed,False,Karnataka
POL000096,CUST042132,Health,2205784.0,96257.02,10259.14,2023-02-27,2025-02-16,24.0,AGT000349,Bancassurance,Accidental Death,Active,False,Uttar Pradesh
POL000097,CUST005809,Motor,140635.0,3881.68,257.96,2022-11-02,2023-10-28,12.0,AGT000288,Agent,Accidental Death,Renewed,False,Uttar Pradesh
POL000098,CUST030833,Home,88945.0,643.88,120.89,2023-11-08,2024-11-02,12.0,,Online,Critical Illness,Renewed,False,Maharashtra
POL000099,CUST026752,Motor,2078170.0,51759.78,4160.86,2022-04-19,2023-04-14,12.0,AGT000442,Agent,None,Active,False,West Bengal
POL000100,CUST036469,Motor,624468.0,13985.8,1341.43,2020-10-24,2025-09-28,60.0,AGT000313,Agent,Accidental Death,Renewed,False,Andhra Pradesh
POL000101,CUST049242,Marine,1010280.0,24715.36,1290.26,2020-03-29,2021-03-24,12.0,AGT000440,Bancassurance,Accidental Death,Active,False,Bihar
POL000102,CUST020919,Motor,174479.0,4337.43,604.41,2022-01-18,2023-01-13,12.0,AGT000089,Bancassurance,None,Active,False,Karnataka
POL000103,CUST048643,Health,1393367.0,70449.85,12646.63,2020-07-28,2021-07-23,12.0,AGT000377,Direct,None,Active,True,Bihar
POL000104,CUST035815,Home,1411227.0,13423.96,1487.6,2021-04-17,2022-04-12,12.0,,Agent,Critical Illness,Lapsed,False,Uttarakhand
POL000105,CUST039352,Crop,126200.0,9648.94,1928.79,2020-05-07,2021-05-02,12.0,AGT000304,Agent,Zero Dep,Cancelled,False,Uttar Pradesh
POL000106,CUST048901,Motor,4746838.0,109726.85,7539.75,2020-03-10,2023-02-23,36.0,AGT000155,Agent,Zero Dep,Renewed,False,Maharashtra
POL000107,CUST029578,Motor,8014416.0,218630.48,16878.49,2022-06-15,2025-05-30,36.0,AGT000474,Broker,Accidental Death,Active,False,Andhra Pradesh
POL000108,CUST002005,Crop,8826812.0,467907.89,36266.45,2024-03-04,2025-02-27,12.0,AGT000384,Broker,Accidental Death,Active,False,Madhya Pradesh
POL000109,CUST022574,Motor,117595.0,2365.92,135.99,2020-04-11,2022-04-01,24.0,AGT000124,Bancassurance,None,Cancelled,False,Maharashtra
POL000110,CUST011967,Motor,13156122.0,350921.11,31931.72,2023-04-30,2026-04-14,36.0,AGT000021,Agent,None,Renewed,False,Uttar Pradesh
POL000111,CUST004291,Crop,3583322.0,255297.98,31225.01,2024-06-19,2025-06-14,12.0,AGT000125,Direct,Critical Illness,Active,False,Andhra Pradesh
POL000112,CUST025331,Motor,10246543.0,300805.74,43509.73,2021-03-06,2022-03-01,12.0,AGT000201,Direct,Critical Illness,Active,False,Karnataka
POL000113,CUST040450,Home,14488057.0,122881.61,6987.42,2021-05-12,2022-05-07,12.0,AGT000144,Agent,Zero Dep,Renewed,False,Uttar Pradesh
POL000114,CUST031255,Health,3338389.0,147574.84,13962.28,2022-05-07,2024-04-26,24.0,AGT000358,Online,Critical Illness,Renewed,False,Uttar Pradesh
POL000115,CUST022351,Life,128633.0,1870.07,366.37,2021-03-05,2026-02-07,60.0,AGT000039,Agent,Accidental Death,Active,False,Telangana
POL000116,CUST011057,Health,225059.0,10183.73,1937.64,2021-08-07,2022-08-02,12.0,AGT000104,Direct,Critical Illness,Renewed,False,Maharashtra
POL000117,CUST019335,Health,815120.0,30913.24,5579.02,2020-04-21,2021-04-16,12.0,AGT000133,Online,None,Active,False,Rajasthan
POL000118,CUST049714,Health,702475.0,34844.75,6246.34,2021-06-07,2022-06-02,12.0,AGT000230,Direct,None,Renewed,True,Tamil Nadu
POL000119,CUST008931,Motor,129787.0,4073.97,689.55,2021-03-07,2024-02-20,36.0,AGT000344,Direct,Accidental Death,Active,False,Uttar Pradesh
POL000120,CUST006566,Life,290325.0,3834.16,414.81,2023-06-14,2024-06-08,12.0,AGT000104,Agent,None,Active,False,Kerala
POL000121,CUST035930,Travel,13684641.0,675430.73,48064.59,2020-04-06,2022-03-27,24.0,AGT000110,Online,Accidental Death,Active,False,Kerala
POL000122,CUST044292,Health,3637440.0,128148.46,21927.27,2020-06-06,2023-05-22,36.0,AGT000102,Agent,Accidental Death,Active,False,Telangana
POL000123,CUST040640,Home,230559.0,1653.06,167.06,2022-10-13,2023-10-08,12.0,AGT000230,Online,None,Active,False,West Bengal
POL000124,CUST027839,Motor,3549047.0,74930.6,12579.88,2024-02-10,2025-02-04,12.0,AGT000213,Direct,Accidental Death,Renewed,False,Assam
POL000125,CUST006096,Motor,3608919.0,106684.44,20174.84,2021-12-03,2022-11-28,12.0,AGT000201,Agent,Zero Dep,Lapsed,False,Assam
POL000126,CUST026174,Motor,91349.0,2280.62,353.99,2021-06-19,2023-06-09,24.0,AGT000377,Direct,None,Active,False,Punjab
POL000127,CUST015766,Motor,5777506.0,140325.97,7050.55,2021-01-15,2023-01-05,24.0,AGT000419,Broker,Critical Illness,Renewed,False,Himachal Pradesh
POL000128,CUST045700,Travel,122382.0,7459.85,1217.63,2020-03-12,2022-03-02,24.0,AGT000458,Broker,Accidental Death,Lapsed,False,Tamil Nadu
POL000129,CUST048083,Travel,205890.0,11695.73,1308.65,2020-09-19,2021-09-14,12.0,AGT000159,Direct,Accidental Death,Active,True,Uttar Pradesh
POL000130,CUST040906,Life,102477.0,1433.3,157.81,2020-03-27,2021-03-22,12.0,AGT000377,Agent,Critical Illness,Active,True,Tamil Nadu
POL000131,CUST029424,Health,2871899.0,102681.1,18568.31,2024-03-17,2025-03-12,12.0,AGT000460,Agent,Accidental Death,Lapsed,False,Telangana
POL000132,CUST029761,Health,4598891.0,152244.84,20149.0,2023-03-23,2028-02-25,60.0,AGT000174,Online,Accidental Death,Renewed,True,Karnataka
POL000133,CUST042290,Travel,2169411.0,125174.57,9467.2,2021-12-24,2026-11-28,60.0,AGT000448,Agent,Zero Dep,Renewed,False,Odisha
POL000134,CUST043137,Home,557593.0,4130.67,667.75,2024-01-03,2024-12-28,12.0,AGT000259,Agent,None,Renewed,False,West Bengal
POL000135,CUST028723,Crop,231465.0,16099.32,944.67,2021-05-03,2022-04-28,12.0,AGT000169,Agent,None,Renewed,False,Madhya Pradesh
POL000136,CUST005990,Health,234542.0,11921.98,1347.34,2021-06-07,2023-05-28,24.0,AGT000383,Agent,None,Active,False,Uttar Pradesh
POL000137,CUST041186,Motor,699214.0,17495.52,3450.03,2023-06-27,2026-06-11,36.0,AGT000089,Agent,None,Renewed,False,Maharashtra
POL000138,CUST049338,Travel,3732620.0,182442.7,31509.13,2021-05-12,2022-05-07,12.0,AGT000335,Broker,None,Lapsed,False,Maharashtra
POL000139,CUST047853,Travel,534764.0,22523.45,1158.89,2023-11-28,2026-11-12,36.0,AGT000410,Agent,Critical Illness,Active,False,Bihar
POL000140,CUST022871,Life,8920237.0,114410.55,7051.27,2021-08-01,2022-07-27,12.0,AGT000276,Online,None,Renewed,False,Jharkhand
POL000141,CUST045391,Health,122698.0,4271.07,621.93,2020-02-05,2022-01-25,24.0,AGT000173,Agent,Accidental Death,Renewed,False,Tamil Nadu
POL000142,CUST005818,Motor,3441168.0,89127.34,15313.64,2020-08-28,2025-08-02,60.0,AGT000411,Online,Critical Illness,Active,False,Assam
POL000143,CUST029543,Health,214336.0,8970.34,683.83,2020-09-15,2021-09-10,12.0,AGT000268,Agent,None,Renewed,False,Uttar Pradesh
POL000144,CUST035365,Life,130065.0,1634.24,238.13,2020-05-13,2023-04-28,36.0,AGT000013,Agent,None,Renewed,False,Kerala
POL000145,CUST032799,Life,5202047.0,76672.94,7545.82,2020-01-18,2021-01-12,12.0,AGT000248,Bancassurance,None,Active,False,Uttar Pradesh
POL000146,CUST022570,Health,13431237.0,693833.09,78036.12,2023-01-26,2024-01-21,12.0,AGT000348,Agent,None,Active,False,Maharashtra
POL000147,CUST031877,Motor,275078.0,7462.16,912.7,2020-08-26,2021-08-21,12.0,AGT000008,Bancassurance,Accidental Death,Renewed,False,West Bengal
POL000148,CUST000420,Travel,455553.0,23577.52,3416.08,2023-10-01,2024-09-25,12.0,AGT000226,Agent,Accidental Death,Renewed,False,Bihar
POL000149,CUST042463,Motor,246914.0,5200.71,484.94,2024-01-14,2025-01-08,12.0,AGT000188,Online,None,Active,False,Uttar Pradesh
POL000150,CUST018401,Health,4619367.0,206912.07,26795.3,2023-11-14,2024-11-08,12.0,AGT000019,Direct,None,Active,True,Uttar Pradesh
POL000151,CUST005477,Life,216714.0,3781.05,552.37,2023-09-25,2024-09-19,12.0,AGT000022,Direct,None,Active,True,Rajasthan
POL000152,CUST013321,Crop,252634.0,16067.36,3138.12,2021-07-15,2022-07-10,12.0,AGT000455,Broker,None,Renewed,False,Andhra Pradesh
POL000153,CUST028862,Motor,13478747.0,333235.17,38284.16,2021-02-12,2022-02-07,12.0,AGT000293,Direct,Critical Illness,Renewed,False,Maharashtra
POL000154,CUST006012,Motor,10490329.0,239318.23,19280.43,2022-01-27,2023-01-22,12.0,AGT000387,Direct,Accidental Death,Active,False,Karnataka
POL000155,CUST033384,Motor,293812.0,6854.88,1206.36,2024-05-12,2025-05-07,12.0,AGT000429,Broker,None,Active,True,Andhra Pradesh
POL000156,CUST003140,Motor,9199198.0,288563.83,31958.83,2023-07-17,2024-07-11,12.0,AGT000386,Direct,Accidental Death,Active,False,Jharkhand
POL000157,CUST023635,Health,11561543.0,374850.73,55392.13,2020-01-14,2021-01-08,12.0,AGT000122,Online,None,Active,True,Delhi
POL000158,CUST013493,Crop,242608.0,13905.35,2055.89,2021-09-03,2023-08-24,24.0,AGT000473,Agent,Accidental Death,Active,False,Punjab
POL000159,CUST036771,Health,4345035.0,221036.04,43863.77,2023-04-21,2024-04-15,12.0,AGT000392,Agent,None,Lapsed,True,Haryana
POL000160,CUST023114,Life,111988.0,1510.37,84.32,2022-08-20,2023-08-15,12.0,AGT000450,Direct,Accidental Death,Lapsed,False,Punjab
POL000161,CUST027687,Motor,135121.0,3967.8,554.98,2022-07-13,2025-06-27,36.0,AGT000465,Broker,Accidental Death,Lapsed,True,Uttar Pradesh
POL000162,CUST043609,Home,6038902.0,59272.94,7194.38,2022-07-25,2027-06-29,60.0,AGT000161,Broker,None,Active,False,Andhra Pradesh
POL000163,CUST028384,Health,241650.0,9492.88,963.09,2020-02-24,2021-02-18,12.0,AGT000195,Bancassurance,None,Active,False,Gujarat
POL000164,CUST044250,Health,83622.0,3215.84,625.98,2021-03-25,2022-03-20,12.0,AGT000346,Agent,None,Renewed,False,Tamil Nadu
POL000165,CUST018820,Health,425572.0,19624.92,3399.42,2020-04-09,2023-03-25,36.0,AGT000003,Agent,None,Cancelled,False,Assam
POL000166,CUST012508,Health,125716.0,4694.21,855.66,2021-01-12,2022-01-07,12.0,AGT000061,Direct,None,Active,False,Andhra Pradesh
POL000167,CUST010194,Life,272950.0,3407.74,624.57,2022-10-22,2023-10-17,12.0,AGT000233,Bancassurance,None,Active,False,Madhya Pradesh
POL000168,CUST024804,Health,11985088.0,601099.74,102696.96,2022-11-15,2025-10-30,36.0,AGT000283,Broker,None,Active,False,Uttar Pradesh
POL000169,CUST028904,Motor,251360.0,5278.24,638.98,2023-02-12,2024-02-07,12.0,AGT000086,Bancassurance,Critical Illness,Renewed,False,Uttar Pradesh
POL000170,CUST032394,Motor,9989403.0,241824.09,12183.79,2022-10-25,2023-10-20,12.0,AGT000414,Direct,Critical Illness,Cancelled,False,Tamil Nadu
POL000171,CUST030291,Life,632654.0,11852.8,2033.0,2022-10-10,2024-09-29,24.0,AGT000181,Bancassurance,Critical Illness,Active,False,West Bengal
POL000172,CUST031827,Life,241373.0,3718.65,293.83,2021-12-15,2023-12-05,24.0,AGT000029,Agent,None,Renewed,False,Maharashtra
POL000173,CUST013865,Health,101385.0,3647.21,438.68,2021-03-31,2022-03-26,12.0,AGT000096,Broker,None,Renewed,False,Haryana
POL000174,CUST022584,Health,217568.0,8661.73,521.06,2020-05-11,2021-05-06,12.0,AGT000285,Online,Accidental Death,Renewed,False,Karnataka
POL000175,CUST033424,Crop,5455512.0,334591.8,42107.44,2020-10-06,2023-09-21,36.0,AGT000180,Online,Accidental Death,Active,False,Haryana
POL000176,CUST038235,Travel,91434.0,3744.82,197.58,2023-02-05,2028-01-10,60.0,AGT000369,Bancassurance,None,Active,False,Rajasthan
POL000177,CUST012373,Home,114727.0,738.87,111.57,2023-04-01,2024-03-26,12.0,AGT000388,Direct,Critical Illness,Renewed,True,Assam
POL000178,CUST011562,Health,949717.0,44362.68,4708.07,2021-05-04,2022-04-29,12.0,AGT000167,Broker,Critical Illness,Active,False,Bihar
POL000179,CUST041876,Motor,229559.0,6940.73,1027.19,2020-11-22,2021-11-17,12.0,AGT000019,Agent,None,Active,False,Tamil Nadu
POL000180,CUST045832,Life,1231692.0,23494.32,3704.33,2023-07-16,2024-07-10,12.0,AGT000069,Agent,Critical Illness,Active,False,Kerala
POL000181,CUST021414,Motor,297323.0,6204.84,940.6,2023-11-21,2024-11-15,12.0,AGT000484,Agent,Zero Dep,Renewed,False,Rajasthan
POL000182,CUST004407,Crop,965175.0,71416.02,6601.16,2021-09-10,2022-09-05,12.0,AGT000091,Direct,None,Active,False,Meghalaya
